Time_s,Time_min,f1_Hz,f3_Hz,f5_Hz,f7_Hz,f9_Hz,f11_Hz,f13_Hz,D3_ppm,D5_ppm,D7_ppm,D9_ppm,D11_ppm,D13_ppm
70.3375,1.172291667,-0.0772,-0.1294,-0.2868,-0.1995,-0.1576,-0.1929,-0.3157,0.0391,0.0313,0.0613,0.0643,0.0049,-0.0536
71.2353,1.187255,0.0121,-0.2271,-0.1322,-0.2025,-0.1415,-0.15,-0.1452,0.0544,0.0804,0.053,0.0488,-0.0414,0.1153
72.116,1.201933333,0.0528,-0.234,-0.2063,-0.2501,-0.0668,-0.3721,0.2482,0.0857,0.0618,0.0534,0.0354,0.1136,0.0797
72.9915,1.216525,-0.0233,-0.3409,-0.1996,-0.0923,-0.1454,-0.0971,-0.1029,0.0796,0.0285,0.054,0.0045,0.0697,0.0154
73.8559,1.230931667,0.0946,-0.1507,-0.1027,-0.1606,-0.1415,-0.2664,-0.3179,0.0856,0.0855,0.0246,0.0505,0.0511,0.1037
74.7617,1.246028333,0.1596,-0.271,-0.316,-0.1699,-0.1443,-0.1351,0.1764,0.0944,0.0457,0.0111,0.0562,0.0651,-0.154
75.6299,1.260498333,-0.0882,-0.1156,-0.2217,-0.1723,-0.1789,-0.2256,-0.2592,0.0394,0.065,-0.003,0.0553,-0.0514,0.0422
76.5114,1.27519,0.0561,-0.2272,-0.1149,-0.1934,-0.1879,-0.1853,0.0462,0.0822,0.026,0.0405,0.057,0.082,0.0845
77.349,1.28915,-0.0233,-0.1915,-0.2219,-0.1778,-0.2224,-0.2887,0.0304,0.1198,0.0832,0.0417,0.0625,0.0281,0.0436
78.216,1.3036,0.1252,-0.3055,-0.27,-0.2237,-0.1425,-0.1754,0.1211,0.1035,0.0282,0.0414,0.0682,-0.0029,-0.0368
79.0974,1.31829,0.0535,-0.2013,-0.2269,-0.1777,-0.1963,-0.1862,0.0776,0.0852,0.0135,0.0596,0.0215,0.0581,0.1782
79.9831,1.333051667,0.0623,-0.3356,-0.2783,-0.3158,-0.1524,-0.3209,0.2772,0.0207,0.0624,0.0331,0.0387,0.0457,0.1618
80.7848,1.346413333,-0.0302,-0.2789,-0.247,-0.19,-0.112,0.0998,-0.427,0.1258,0.043,0.042,0.0272,0.0582,-0.0471
81.6095,1.360158333,0.0172,-0.2217,-0.1004,-0.1397,-0.1524,-0.1202,-0.9577,0.0835,0.0446,0.0258,0.0128,-0.0342,0.2341
82.475,1.374583333,0.0196,-0.2305,-0.1631,-0.2598,-0.202,-0.2656,0.1795,0.1354,0.0447,0.0582,0.0294,0.0226,-0.011
83.3775,1.389625,-0.0724,-0.3105,-0.2071,-0.1811,-0.1659,-0.1783,-0.5946,0.0884,0.053,0.0697,0.0415,0.0403,-0.114
84.2602,1.404336667,0.2278,-0.2656,-0.1267,-0.2875,-0.2142,-0.2356,-0.362,0.0892,0.0798,0.0417,0.0365,0.0372,0.0078
85.1072,1.418453333,0.1108,-0.1239,-0.1282,-0.181,-0.1767,-0.1227,-0.1328,0.0883,0.1246,0.0509,0.0306,0.0032,0.2313
85.8921,1.431535,0.0702,-0.2168,-0.1445,-0.2237,-0.2921,-0.0992,-0.0275,0.0755,0.1028,0.0496,0.0246,-0.0022,0.164
86.7315,1.445525,-0.0328,-0.3155,-0.3385,-0.1912,-0.2412,-0.2078,-0.4081,0.106,0.0936,0.0601,-0.0057,-0.0472,0.1519
87.5874,1.45979,-0.0385,-0.3796,-0.1626,-0.1628,-0.1467,-0.0753,-0.0284,0.0242,0.0796,0.033,0.0353,0.0065,-0.0319
88.4893,1.474821667,0.1045,-0.3711,-0.2429,-0.2225,-0.1858,-0.1738,-0.7857,0.0908,0.0614,0.0552,0.0244,0.0197,-0.0418
89.3398,1.488996667,0.0297,-0.2599,-0.1823,-0.0977,-0.1958,-0.2772,-0.2185,0.1107,0.052,0.0544,0.0442,0.0711,-0.0268
90.1981,1.503301667,0.0602,-0.3223,-0.2548,-0.2231,-0.1371,-0.2385,-0.0611,0.0971,0.0644,0.0328,0.0231,-0.0001,-0.0809
91.087,1.518116667,0.026,-0.2194,-0.2126,-0.197,-0.2106,-0.2713,-0.0787,0.0845,0.0469,0.0595,0.0478,-0.0111,-0.0187
91.977,1.53295,-0.0741,-0.3131,-0.2861,-0.1595,-0.213,-0.2561,-0.4976,0.0942,0.0563,0.0731,0.0519,0.0557,0.0023
92.8314,1.54719,0.0453,-0.2016,-0.4191,-0.2501,-0.2393,-0.1865,-0.5258,0.057,0.0974,0.0495,0.0555,0.0307,0.2334
93.6729,1.561215,-0.0344,-0.3082,-0.1794,-0.225,-0.2044,-0.1557,-0.0514,0.0738,0.0567,0.0436,0.0527,0.0533,-0.0734
94.5419,1.575698333,0.0496,-0.2691,-0.2817,-0.2156,-0.2003,-0.1114,-0.6465,0.0831,0.1482,0.0507,0.0568,0.0426,-0.0587
95.4199,1.590331667,0.0492,-0.3178,-0.2537,-0.2785,-0.1003,-0.2315,-0.0225,0.1556,0.0314,0.0768,0.0241,0.0223,0.144
96.2919,1.604865,0.0583,-0.3974,-0.2972,-0.3128,-0.2196,-0.3641,0.2509,0.1293,0.0654,0.0288,0.0347,0.0341,-0.1541
97.1612,1.619353333,0.0753,-0.1922,-0.3238,-0.2154,-0.1741,-0.1335,-0.2144,0.0995,0.0816,0.0392,0.0475,0.056,-0.0151
98.0383,1.633971667,0.1319,-0.2756,-0.2153,-0.2355,-0.2115,-0.4078,-0.2117,0.1063,0.0578,0.0621,0.0397,0.0221,0.0529
98.9099,1.648498333,0.1105,-0.2623,-0.2214,-0.2317,-0.2403,-0.1575,-0.0316,0.1017,0.0355,0.1053,0.0501,0.0394,-0.0388
