Time_s	f1_Hz	f3_Hz	f5_Hz	f7_Hz	f9_Hz	f11_Hz	f13_Hz	D1_ppm	D3_ppm	D5_ppm	D7_ppm	D9_ppm	D11_ppm	D13_ppm
85.7325	0.0604	-0.0904	-0.1732	-0.0503	-0.0806	-0.0151	0.0744	-0.1258	0.0692	0.0026	-0.0266	-0.0211	-0.1883	0.1325
87.4012	-0.0085	-0.0295	-0.1345	-0.1458	-0.0476	0.0165	-0.5259	-0.1197	-0.0114	-0.0374	-0.0249	-0.0286	0.0056	0.1120
89.0298	0.0638	-0.0342	-0.1377	-0.1628	-0.0667	0.1393	0.7745	-0.1629	-0.0416	-0.0122	-0.0622	-0.0591	-0.0441	-0.1677
90.7225	0.0673	-0.2066	-0.1623	-0.1128	-0.0597	0.0551	0.4352	-0.1432	-0.0141	-0.0390	-0.0445	-0.0362	-0.0408	-0.1253
92.4359	0.0615	-0.0394	-0.1072	-0.0171	-0.1971	0.0563	0.0102	-0.1699	-0.0791	-0.0589	-0.0578	0.0056	-0.1160	0.0723
94.1562	0.1148	-0.0286	-0.0706	-0.1102	-0.0194	0.1158	-0.0054	-0.0916	-0.0160	-0.0537	-0.0272	-0.0349	0.0460	0.0319
95.9196	-0.1166	0.0700	-0.2873	-0.1162	-0.0770	-0.1357	-0.0500	-0.1637	-0.0362	-0.0625	0.0180	-0.0268	0.0424	0.2877
97.6667	-0.0609	-0.0043	-0.2236	-0.2614	-0.0242	-0.1226	-0.2800	-0.1111	-0.0563	-0.0328	-0.0559	-0.0110	-0.0462	0.1361
99.2783	0.0960	-0.1923	-0.1335	-0.1035	-0.0381	-0.1442	-0.7588	-0.1305	-0.0466	-0.0537	-0.0213	-0.0294	-0.0924	-0.5348
101.0091	0.0975	-0.0715	-0.0348	-0.0796	-0.1170	-0.2048	-0.4132	-0.0759	-0.0444	-0.0586	-0.0298	-0.0102	-0.0973	-0.2383
102.7638	0.1603	-0.0824	-0.1636	-0.0424	-0.0686	-0.1034	0.4404	-0.1599	-0.0084	-0.0276	-0.0260	-0.0398	0.0186	-0.1783
104.5185	0.0712	-0.0510	-0.2393	-0.2446	-0.0516	0.1377	-0.2703	-0.1495	-0.0364	-0.0127	0.0018	-0.0570	0.0310	0.5521
106.2266	-0.0269	-0.0449	-0.2060	-0.0777	-0.1058	-0.0820	-0.0358	-0.1087	-0.0990	-0.0156	-0.0315	-0.0260	-0.1062	0.0416
107.9877	0.1360	-0.0374	-0.1864	-0.2471	-0.1800	-0.0697	-0.7010	-0.1046	-0.0596	-0.0566	-0.0234	-0.0139	0.0528	0.1360
109.7417	0.0577	-0.2812	-0.0638	-0.1389	-0.0737	-0.1714	0.0747	-0.0865	-0.1411	-0.0365	-0.0319	-0.0509	-0.0428	-0.0046
111.4897	0.0267	0.0299	-0.0305	-0.1729	-0.1576	-0.0186	0.3174	-0.1603	-0.0335	-0.0017	-0.0353	-0.0192	0.0144	-0.0189
113.2274	0.0836	-0.0886	-0.2457	-0.1089	-0.1504	-0.0954	0.0061	-0.1716	-0.0956	-0.0852	-0.0399	0.0010	0.0122	0.1249
114.9502	0.0736	-0.0855	-0.1655	-0.2382	-0.0972	-0.1925	0.2436	-0.1588	-0.0357	-0.0256	-0.0054	0.0007	-0.2067	-0.2932
116.6954	0.1279	-0.1882	-0.1127	-0.1016	-0.1269	-0.1035	-0.1085	-0.1273	-0.0766	0.0243	-0.0237	-0.0242	-0.1290	-0.1873
118.4021	0.0902	-0.1376	-0.1108	-0.0628	-0.0576	-0.2202	-0.5158	-0.1940	-0.0586	-0.0490	-0.0631	-0.0060	-0.0123	0.0406
120.1557	0.1709	-0.0009	-0.2779	-0.1937	-0.0793	-0.1764	0.2448	-0.1106	-0.0366	-0.0528	0.0186	-0.0427	-0.1264	-0.3153
121.8878	0.0694	-0.0177	-0.1564	-0.0488	-0.1554	-0.2417	0.6591	-0.1628	-0.0860	-0.0706	-0.0252	-0.0198	-0.1769	-0.1122
123.6466	0.0835	-0.1671	-0.1944	-0.1692	-0.0455	-0.1621	-0.4043	-0.1994	-0.0593	0.0165	-0.0306	-0.0321	0.0101	-0.0505
125.3858	0.1049	0.0202	-0.0029	-0.1868	-0.1704	-0.0186	0.0387	-0.1703	-0.0503	-0.0555	-0.0388	-0.0472	-0.0512	-0.0027
127.1174	0.0231	-0.1786	-0.1566	-0.1598	-0.1332	-0.1696	0.9212	-0.1647	-0.0599	-0.0299	-0.0222	-0.0224	-0.1042	-0.5223
128.8910	-0.0087	0.0063	-0.1697	-0.1054	-0.0573	-0.1101	0.0836	-0.2020	0.0425	-0.0297	-0.0394	0.0444	-0.0301	-0.3309
130.6178	0.0976	-0.1034	-0.2036	-0.1405	-0.1881	-0.1180	-0.1176	-0.1539	-0.0777	-0.0396	-0.0277	-0.0271	-0.0190	-0.0435
132.3783	0.0820	-0.1141	-0.1631	-0.0756	-0.1366	0.0916	0.1273	-0.1439	-0.0522	-0.0369	-0.0139	-0.0302	0.0314	0.0655
134.1354	0.1810	-0.0975	-0.0743	-0.1033	-0.1197	-0.0744	-0.6103	-0.2337	-0.0273	-0.0283	-0.0278	-0.0285	-0.1325	-0.1351
135.9105	0.0412	-0.2866	-0.1225	-0.1976	-0.1253	-0.3521	-0.3175	-0.1628	-0.0848	-0.0696	-0.0219	-0.0194	-0.0256	-0.0854
