Time_s	f1_Hz	f3_Hz	f5_Hz	f7_Hz	f9_Hz	f11_Hz	f13_Hz	D1_ppm	D3_ppm	D5_ppm	D7_ppm	D9_ppm	D11_ppm	D13_ppm
115.4088	-0.1041	-0.2774	-0.3825	-0.3831	-0.2598	-0.3932	-0.4482	0.0390	0.0802	0.0638	0.0516	0.0584	0.0236	0.1806
117.1499	-0.1572	-0.4253	-0.4710	-0.3535	-0.2341	-0.2988	0.1269	0.0383	0.0599	0.0742	0.0857	0.0556	0.0255	0.0693
118.9415	-0.4749	-0.3647	-0.2923	-0.3522	-0.3153	-0.5137	-0.3945	0.1106	0.0197	0.0309	0.0757	0.0046	0.0649	0.0401
120.6759	-0.1921	-0.4119	-0.3787	-0.3051	-0.3475	-0.6200	-0.0599	0.0254	0.1025	0.0645	0.0767	0.0131	-0.0385	0.0452
122.4524	-0.2919	-0.4754	-0.3787	-0.4066	-0.3172	-0.2725	-0.6117	0.0985	0.0663	0.0403	0.0630	0.0455	0.0124	-0.0232
124.2159	-0.3693	-0.4605	-0.4054	-0.4013	-0.3523	-0.2309	-0.2323	0.0522	0.0807	0.0596	0.0457	0.0803	0.0843	0.3742
125.9276	-0.2945	-0.4390	-0.3738	-0.3543	-0.3138	-0.3422	-0.5792	0.0415	0.0810	0.0069	0.0893	0.0701	0.0824	-0.1509
127.6888	-0.2985	-0.5878	-0.4013	-0.3235	-0.3729	-0.4209	-0.6512	0.0633	0.0532	0.0437	0.0840	0.0830	0.0993	-0.0022
129.4437	-0.3876	-0.5070	-0.5131	-0.3649	-0.3340	-0.4651	-0.4559	0.0835	0.0647	0.0529	0.0572	0.0460	-0.0212	0.2179
131.1832	-0.2274	-0.4283	-0.5615	-0.4168	-0.4188	-0.4100	-0.3190	0.0007	0.0546	0.0555	0.0492	0.0594	0.1574	0.1868
132.9518	-0.2655	-0.5952	-0.4364	-0.3163	-0.3007	-0.3096	-0.2693	0.0546	0.0866	0.0603	0.0644	0.1081	0.1565	0.0791
134.7039	-0.4474	-0.4082	-0.5125	-0.4443	-0.3465	-0.3030	0.3330	0.0942	0.0685	0.0997	0.0804	0.0578	-0.0800	-0.0381
136.4844	-0.1816	-0.5546	-0.4334	-0.3949	-0.4155	-0.3741	-0.5634	-0.0343	0.0722	0.1064	0.0786	0.0848	0.1013	0.1390
138.2674	-0.3453	-0.5070	-0.4165	-0.4658	-0.3323	-0.7036	-0.3229	0.0361	0.0558	0.0347	0.0776	0.1180	0.1069	-0.0023
139.9960	-0.4249	-0.4813	-0.4730	-0.3980	-0.4775	-0.2230	-0.5894	0.1127	0.0703	0.0667	0.0578	0.0648	0.0613	0.3230
141.7819	-0.4027	-0.4597	-0.2925	-0.4345	-0.3924	-0.4392	-0.5066	0.0042	0.0997	0.0658	0.0697	0.0865	-0.0091	0.1555
143.5347	-0.2716	-0.6213	-0.3327	-0.4483	-0.4073	-0.2997	-0.4416	0.0703	0.0227	0.0981	0.0651	0.0717	0.0808	0.1274
145.3167	-0.2972	-0.5335	-0.4123	-0.5028	-0.4846	-0.3536	-0.7029	0.0991	0.0293	0.0444	0.0559	0.0656	0.0432	0.0874
147.0516	-0.4265	-0.6058	-0.4388	-0.4012	-0.4482	-0.2743	-0.6121	0.0245	0.0860	0.0910	0.0539	0.0881	0.0546	0.1234
148.7845	-0.3699	-0.4474	-0.5079	-0.3539	-0.4699	-0.5124	-0.0134	0.0649	0.1254	0.0840	0.0756	0.0665	0.0650	0.0444
150.5211	-0.5166	-0.5749	-0.5213	-0.3668	-0.4399	-0.4572	-0.6063	0.1273	0.0535	0.1108	0.0677	0.0628	0.0779	0.1221
152.2958	-0.2496	-0.6110	-0.4464	-0.4709	-0.3939	-0.1895	-0.2039	0.0370	0.1047	0.1214	0.0805	0.0468	0.1704	0.1912
154.0547	-0.4467	-0.4576	-0.4173	-0.4248	-0.4527	-0.1026	-0.5109	0.1198	0.1098	0.0963	0.0809	0.0519	0.0678	0.2395
155.8338	-0.4181	-0.5455	-0.4743	-0.3979	-0.5028	-0.3959	-0.7227	0.1272	0.0769	0.0506	0.0787	0.0930	0.0212	0.1952
157.5899	-0.2193	-0.6367	-0.5576	-0.5208	-0.4925	-0.5284	-0.5176	0.0156	0.0631	0.1511	0.0653	0.0791	0.0938	0.1807
159.3237	-0.3007	-0.6565	-0.4799	-0.4623	-0.4504	-0.0435	-0.4132	0.0216	0.0720	0.0909	0.0867	0.0551	0.0678	0.2142
161.1209	-0.4462	-0.5665	-0.4966	-0.4615	-0.4689	-0.6097	-0.2071	0.1009	0.0826	0.0933	0.0527	0.0875	0.1163	0.1402
162.8825	-0.3956	-0.6196	-0.4937	-0.4876	-0.5384	-0.2818	-0.4211	0.0481	0.0655	0.1076	0.0673	0.0704	0.1248	0.0420
164.5906	-0.3492	-0.6592	-0.5816	-0.5273	-0.5342	-0.6712	-0.5884	0.0430	0.0960	0.1183	0.0911	0.0380	0.0384	0.0849
166.3447	-0.5395	-0.5408	-0.6345	-0.3779	-0.4433	-0.4199	-0.4779	0.1285	0.0758	0.1107	0.1022	0.0410	0.0659	0.0851
168.0742	-0.2395	-0.5022	-0.6194	-0.5443	-0.5090	-0.4111	-0.3220	0.0602	0.0862	0.1468	0.0842	0.0789	0.0038	-0.1420
169.7610	-0.2174	-0.7120	-0.4738	-0.4954	-0.5015	-0.6363	-0.7208	0.0489	0.1104	0.1097	0.0879	0.0761	0.0956	0.1562
171.4836	-0.5322	-0.6350	-0.5750	-0.5558	-0.5073	-0.6698	-0.6237	0.1512	0.1007	0.0816	0.0974	0.0913	0.0848	0.3876
173.2565	-0.3689	-0.5686	-0.6425	-0.5079	-0.4721	-0.5631	-0.1493	0.0346	0.1080	0.1122	0.0847	0.0745	0.0193	0.1088
174.9860	-0.3062	-0.7267	-0.4823	-0.5655	-0.5153	-0.5247	-0.2733	0.0364	0.0989	0.0683	0.0706	0.0612	0.1850	0.1819
176.7883	-0.4292	-0.6997	-0.5888	-0.4488	-0.5684	-0.4017	-0.4526	0.0833	0.0498	0.0885	0.1004	0.0618	0.0976	-0.1071
178.5664	-0.3529	-0.7471	-0.5691	-0.5026	-0.5929	-0.6228	-0.1539	0.0723	0.1189	0.0791	0.0697	0.1104	0.1509	0.1513
180.3319	-0.3587	-0.6850	-0.6754	-0.5758	-0.5917	-0.5112	-0.8038	0.0729	0.1110	0.0958	0.1008	0.1104	0.0696	0.2515
182.0684	-0.4804	-0.8895	-0.5859	-0.4472	-0.5569	-0.6417	-0.5356	0.0497	0.1066	0.0980	0.1065	0.1047	0.1513	-0.0523
183.8158	-0.2256	-0.6467	-0.5535	-0.4991	-0.5873	-0.4655	-0.3659	0.0528	0.0971	0.0751	0.1120	0.0981	0.0993	0.0645
185.4998	-0.3600	-0.7346	-0.6444	-0.5398	-0.4547	-0.4303	-0.5200	0.0563	0.1282	0.0790	0.1140	0.1238	0.0302	-0.1079
187.2541	-0.5564	-0.6808	-0.5980	-0.6036	-0.5665	-0.5320	-0.2843	0.0481	0.0813	0.1325	0.0797	0.0660	0.0851	0.0656
188.9675	-0.2951	-0.5020	-0.5988	-0.6114	-0.5129	-0.3383	-0.2338	0.0190	0.1315	0.0858	0.1156	0.0617	0.0176	0.0014
190.6946	-0.4642	-0.8556	-0.7318	-0.5550	-0.5765	-0.7525	-0.3546	0.0686	0.1069	0.0800	0.0970	0.1018	0.0399	0.1770
192.4522	-0.5551	-0.8264	-0.6299	-0.6063	-0.5505	-0.3827	-0.5030	0.0766	0.1290	0.0478	0.0731	0.1272	0.0173	0.1143
194.1566	-0.3603	-0.6528	-0.7559	-0.6417	-0.6244	-0.7375	-1.1292	-0.0047	0.0927	0.1569	0.1178	0.1007	0.0030	0.0545
195.8920	-0.3175	-0.7643	-0.6252	-0.6579	-0.6400	-0.5104	-0.8272	-0.0203	0.1277	0.1068	0.1020	0.0679	0.2140	0.0243
197.6013	-0.4738	-0.8227	-0.6209	-0.6502	-0.5065	-0.4414	-0.2140	0.0753	0.1306	0.1456	0.0441	0.0923	0.1011	0.4094
199.1513	-0.3546	-0.7949	-0.5984	-0.5692	-0.5912	-0.9474	-0.6179	0.0479	0.0990	0.1031	0.0822	0.0590	0.1188	-0.0492
200.8819	-0.3359	-0.8320	-0.6511	-0.6174	-0.6609	-0.6942	-1.0487	0.0390	0.1020	0.1602	0.1635	0.0926	0.1089	0.2426
