Time_s	f1_Hz	f3_Hz	f5_Hz	f7_Hz	f9_Hz	f11_Hz	f13_Hz	D1_ppm	D3_ppm	D5_ppm	D7_ppm	D9_ppm	D11_ppm	D13_ppm
123.6200	-3.0706	-0.0178	-0.0479	0.0117	-0.0320	-0.2822	0.2013	-0.4395	-0.0248	-0.0300	0.0281	0.0112	-0.1568	-0.0520
125.3679	-3.0079	-0.1255	-0.1794	0.0648	-0.0073	-0.1657	0.5776	-0.4658	0.0379	0.0034	0.0415	0.0121	-0.0305	0.0395
127.1074	-2.9900	-0.0902	-0.1383	-0.0047	-0.0204	0.0545	0.1314	-0.4313	-0.0255	0.0013	0.0037	0.0051	0.0456	-0.0478
128.8718	-3.1195	-0.0857	-0.0861	0.0086	0.0111	0.0742	-0.0344	-0.4279	0.0327	-0.0330	0.0014	0.0071	-0.0084	-0.1265
130.6058	-3.1284	-0.1288	-0.0471	-0.0291	-0.0357	-0.0766	0.3302	-0.4330	-0.0098	-0.0329	0.0076	-0.0031	-0.0080	-0.1934
132.3733	-3.0897	-0.0480	-0.0444	-0.1023	0.0374	-0.0266	-0.1141	-0.4725	0.0182	0.0016	0.0251	0.0434	0.0369	0.2534
134.1306	-3.0784	-0.0226	-0.1319	-0.0720	-0.0112	0.0159	0.6741	-0.3812	0.0148	0.0044	0.0263	0.0225	0.0129	0.0473
135.6688	-3.0360	-0.0947	0.0380	-0.0387	0.0265	-0.0825	-0.5608	-0.3907	-0.0105	0.0394	0.0290	0.0264	0.0728	0.0326
137.3634	-2.8616	-0.0905	-0.0853	-0.0403	-0.0325	-0.2410	0.5669	-0.4120	0.0213	-0.0217	0.0364	0.0132	0.0656	-0.0961
139.1225	-2.9329	-0.0988	-0.1838	-0.1294	-0.0028	-0.2838	0.5710	-0.4273	0.0338	0.0104	0.0488	0.0190	0.0042	0.0878
140.8793	-2.9819	-0.0210	-0.1566	-0.0306	0.0417	-0.2174	0.1472	-0.4357	0.0086	0.0243	0.0202	0.0266	0.0386	-0.2320
142.6313	-2.8999	-0.1424	-0.0626	-0.0534	-0.0398	-0.0522	0.0063	-0.3905	0.0128	0.0409	0.0218	0.0128	-0.0221	0.0233
144.3450	-2.8619	-0.1232	-0.0209	-0.0583	0.0176	-0.0636	0.2684	-0.4226	0.0266	-0.0444	0.0347	0.0089	0.1012	0.0220
146.0597	-2.8647	-0.2008	-0.0322	0.0338	-0.0230	0.1088	0.5081	-0.4147	0.0176	0.0081	0.0135	0.0213	-0.0568	-0.0276
147.8073	-2.8107	-0.0551	-0.0896	-0.0182	-0.0618	-0.4829	-0.2456	-0.3717	0.0193	-0.0027	0.0180	0.0257	0.0039	0.0665
149.3891	-2.5967	-0.0232	-0.1769	0.0168	-0.0433	-0.1872	0.1178	-0.3406	0.0920	0.0337	-0.0023	0.0133	0.0496	0.1538
151.1499	-2.5933	0.0239	0.0765	-0.0156	-0.0523	0.0174	0.0470	-0.4063	0.0487	-0.0283	0.0050	-0.0167	0.0898	-0.0518
152.9059	-2.5694	-0.0404	-0.0414	-0.0013	-0.0249	-0.0578	0.0515	-0.3757	-0.0295	0.0443	0.0302	-0.0068	-0.0790	-0.0540
154.6211	-2.4189	-0.0402	0.1223	-0.0678	0.0300	0.0241	0.1920	-0.3419	0.0362	-0.0082	0.0525	-0.0088	-0.0553	0.0519
156.3613	-2.5906	-0.1326	-0.0387	-0.0346	-0.0112	-0.1588	0.0482	-0.3167	0.0432	-0.0115	0.0315	-0.0052	0.0431	0.2021
158.0051	-2.6334	-0.1719	-0.1189	-0.0953	-0.0110	0.1695	-0.2860	-0.3378	0.0650	0.0468	0.0277	-0.0094	-0.0220	0.1901
159.7400	-2.5782	0.0315	-0.1186	-0.0588	-0.0045	0.1529	0.0510	-0.3984	-0.0165	-0.0063	0.0311	0.0013	0.0221	0.1438
161.4900	-2.4899	-0.1702	-0.0921	0.0264	0.0019	-0.0359	-0.1024	-0.3538	-0.0237	0.0206	0.0560	-0.0245	-0.0019	0.0065
163.2547	-2.4986	-0.0054	-0.1939	0.0296	0.0023	-0.1595	0.0720	-0.3783	0.0518	-0.0200	0.0462	-0.0007	-0.0514	-0.0884
164.9731	-2.3474	-0.1106	-0.0617	-0.0866	-0.0428	0.0203	-0.0515	-0.3033	-0.0003	0.0485	0.0195	-0.0036	0.1075	0.1915
166.6994	-2.2115	-0.1426	-0.0389	-0.0788	-0.0513	-0.0080	-0.0664	-0.3398	0.0454	-0.0427	0.0325	-0.0022	-0.0002	0.0381
168.4516	-2.2909	-0.0466	0.0203	-0.0441	-0.0132	-0.1091	-0.2333	-0.3610	0.0405	0.0198	0.0471	0.0442	-0.0143	-0.0397
170.1090	-2.0653	-0.1100	-0.0509	-0.0457	-0.0544	0.0083	0.0611	-0.3167	0.0149	0.0034	0.0279	0.0005	-0.0154	-0.1073
171.8555	-2.0805	-0.0276	-0.1041	-0.0728	-0.0244	-0.0469	-0.2144	-0.2770	-0.0479	0.0132	0.0208	0.0244	-0.0656	0.2050
173.5851	-2.2870	-0.0684	-0.0805	-0.0660	-0.0443	-0.2756	-0.6324	-0.2743	0.0264	0.0492	0.0632	0.0241	0.0648	-0.3046
175.3160	-2.3658	-0.1877	-0.0664	0.0328	0.0340	0.0358	-0.6833	-0.2814	-0.0156	-0.0141	0.0617	0.0493	0.0642	0.1846
