Time_s	f1_Hz	f3_Hz	f5_Hz	f7_Hz	f9_Hz	f11_Hz	f13_Hz	D1_ppm	D3_ppm	D5_ppm	D7_ppm	D9_ppm	D11_ppm	D13_ppm
103.5565	-0.0010	0.0015	0.0711	0.0942	-0.0872	-0.0180	-0.3029	-0.1386	0.0194	0.0463	0.0253	0.0319	0.0852	-0.0287
105.2952	0.1332	-0.0360	-0.0757	0.0799	0.0813	0.0761	0.4215	-0.1590	0.0047	-0.0292	-0.0148	0.0253	-0.0276	-0.1343
107.0598	0.1326	0.0614	0.0279	0.0245	0.0287	0.1794	0.6303	-0.0381	-0.0212	0.0109	-0.0115	0.0150	-0.0540	-0.1548
108.7799	0.1874	0.0356	-0.0622	0.0091	0.0266	-0.1387	-0.0545	-0.1716	-0.0251	-0.0167	0.0036	0.0065	-0.0226	-0.0140
110.5240	0.3270	0.0299	-0.0746	0.0797	0.0207	0.0716	0.0422	-0.2166	0.0198	0.0342	-0.0067	0.0067	-0.0227	0.0043
112.2737	0.0986	0.0997	0.0953	0.0150	0.0619	-0.0190	-0.1121	-0.0436	-0.0530	0.0234	0.0228	0.0063	0.0399	-0.1292
113.9945	0.0369	-0.0659	-0.0116	0.0436	0.0166	0.0758	0.4321	-0.1530	-0.0332	0.0138	-0.0065	0.0144	0.0514	-0.1819
115.7165	0.0339	-0.0405	-0.0541	0.0371	0.0556	-0.0254	-0.0712	-0.1840	0.0349	0.0430	0.0097	0.0137	0.0069	-0.0750
117.4567	0.1995	0.0443	0.1425	-0.0264	0.0122	0.0364	0.3343	-0.0530	-0.0291	-0.0011	-0.0490	-0.0046	-0.0053	-0.0347
119.2194	0.2274	0.0235	0.0261	0.0222	-0.0285	0.0385	0.3058	-0.2185	-0.0025	-0.0276	-0.0023	0.0002	-0.0542	-0.0476
120.9577	0.1252	-0.1284	0.0069	0.0378	-0.0562	-0.2310	0.5180	-0.2480	-0.0443	-0.0371	-0.0163	-0.0219	0.0420	0.1685
122.6898	0.1556	0.0336	0.0707	0.0527	-0.0355	-0.0997	-0.1333	-0.0691	0.0040	0.0061	0.0522	0.0064	0.0225	-0.0422
124.4458	0.1936	-0.0027	0.0049	0.0116	-0.0633	0.2515	-0.2910	-0.2118	-0.0416	-0.0036	-0.0392	0.0088	-0.0258	-0.0709
126.2254	0.0556	0.0140	0.0205	-0.0183	0.0621	0.0426	0.1801	-0.1971	-0.0274	0.0008	-0.0254	-0.0092	0.0265	-0.4182
127.9737	0.1054	-0.0532	0.1136	-0.0224	0.0880	0.1607	-0.4168	-0.0830	-0.0617	-0.0065	0.0320	0.0146	0.0200	0.1204
129.7544	0.1283	-0.0004	-0.0375	0.0359	-0.0713	0.1140	-0.1346	-0.1695	0.0161	0.0114	-0.0021	-0.0233	-0.0306	-0.2548
131.4920	0.1182	0.0478	-0.0265	-0.0412	0.0325	-0.1704	0.0501	-0.2290	0.0265	-0.0368	0.0113	0.0313	0.0187	0.0392
133.2475	0.1593	0.0499	-0.0144	0.0363	0.0369	-0.2007	-0.3084	-0.0695	-0.0002	0.0060	-0.0140	0.0224	0.0694	0.1745
134.9877	0.1256	-0.0391	-0.0879	-0.0093	0.0407	0.0788	-0.2073	-0.2294	0.0012	-0.0183	-0.0407	0.0129	-0.0079	0.0111
136.7747	0.1418	-0.0686	-0.1183	0.0498	0.0338	0.0731	0.0549	-0.1835	-0.0115	0.0483	0.0041	-0.0073	0.0731	-0.0727
138.4879	0.0543	0.0704	0.0145	0.0008	-0.0280	0.2580	0.2686	-0.1160	0.0225	-0.0085	0.0127	-0.0092	0.0432	0.0656
140.2639	0.2599	0.1014	-0.1562	0.1103	-0.0489	-0.0793	0.3863	-0.1970	-0.0025	-0.0011	0.0144	0.0221	-0.0896	0.0760
141.8735	0.2263	0.0275	-0.0938	0.0892	-0.0401	-0.1045	0.1324	-0.2257	0.0115	-0.0522	-0.0072	0.0155	0.0737	-0.1068
143.6245	0.1100	-0.0313	0.0698	0.0595	0.0450	-0.0271	-0.3650	-0.1364	0.0292	0.0097	0.0083	0.0164	-0.0468	-0.2594
145.3737	0.1097	-0.0843	0.0446	0.0216	0.0405	-0.3344	0.0037	-0.2319	0.0119	-0.0007	0.0064	-0.0339	0.0072	-0.1274
147.1259	0.1269	-0.0918	-0.0230	-0.0044	0.0216	-0.0515	-0.6536	-0.1764	0.0282	-0.0337	0.0182	0.0201	-0.0359	-0.0826
148.8665	-0.0177	-0.0731	-0.0142	0.0846	-0.0105	0.1658	0.0768	-0.1111	-0.0088	-0.0170	0.0065	0.0093	-0.0479	-0.0691
150.6265	0.0854	-0.0243	0.0987	-0.0011	-0.0812	0.1079	0.4437	-0.2235	0.0004	-0.0109	0.0085	0.0113	0.0125	0.0398
152.3513	0.1221	0.0104	-0.1256	0.0000	-0.0355	0.1073	-0.1878	-0.1870	-0.0549	0.0222	-0.0024	0.0067	0.0167	0.0525
154.0518	0.1247	-0.0043	0.0755	-0.0038	-0.0626	0.3405	0.4033	-0.1767	0.0626	0.0086	0.0283	0.0065	0.0019	-0.0231
155.7622	-0.0029	-0.0766	0.0626	0.0213	-0.0037	-0.0251	-0.0753	-0.2621	0.0325	0.0044	0.0191	0.0127	-0.0123	0.2066
157.5186	0.2299	0.0413	-0.0596	0.0114	-0.0081	0.1437	0.5177	-0.2745	0.0415	0.0295	0.0120	0.0029	0.0401	-0.0406
159.2576	0.1278	0.0532	-0.0536	-0.0566	-0.0255	-0.0678	0.6854	-0.1871	-0.0259	0.0232	0.0231	-0.0011	0.0281	0.0165
160.9879	0.0053	-0.0486	0.0417	0.0570	-0.0154	0.0589	0.3415	-0.2712	0.0176	-0.0095	0.0220	-0.0077	-0.0021	-0.0222
162.7498	0.1512	0.0111	-0.0773	-0.0070	0.0022	-0.0807	0.2749	-0.2272	0.0249	-0.0259	-0.0466	0.0057	-0.0274	0.1416
