Time [s],Time[min],f1 [Hz],f3 [Hz],f5 [Hz],f7 [Hz],f9 [Hz],f11 [Hz],f13 [Hz],D3 [ppm],D5 [ppm],D7 [ppm],D9 [ppm],D11 [ppm],D13 [ppm]
74.2399,1.237331667,-0.0635,0.0772,-0.0601,-0.017,0.0562,-0.1613,-0.252,-0.0358,-0.0409,0.0105,-0.0189,0.0569,-0.1427
75.508,1.258466667,0.1044,-0.0661,-0.0517,0.0332,-0.0068,-0.0534,0.1661,-0.0186,0.0312,-0.0163,-0.0096,0.0006,-0.0486
76.8023,1.280038333,0.013,0.1757,0.0308,-0.0273,0.042,-0.0567,-0.3065,0.0059,0.0121,-0.0244,-0.0051,-0.004,0.1688
77.9519,1.299198333,0.0555,0.0212,0.1299,0.0641,-0.003,0.0213,0.2324,0.0146,-0.0397,-0.0291,-0.0073,-0.0629,0.0342
79.2435,1.320725,0.1203,0.2077,0.0256,0.0174,0.0068,-0.1788,0.635,-0.0182,-0.0252,0.0022,-0.0207,0.0199,0.0645
80.5848,1.34308,0.0766,-0.0609,-0.0046,0.0761,0.0409,-0.1629,-0.0908,-0.0637,-0.0109,0.0162,-0.0121,0.0318,0.0453
81.9024,1.36504,0.0698,0.1377,0.072,-0.0268,-0.0547,0.1287,-0.2044,-0.0506,0.0141,0.0224,0.0125,-0.0062,0.093
83.2586,1.387643333,0.0174,0.2494,-0.0283,-0.064,0.073,0.1326,-0.1181,0.0546,0.0131,0.0093,-0.0323,0.0081,0.3493
84.5465,1.409108333,0.1308,0.222,-0.0833,0.0556,-0.0047,0.0797,0.1078,0.0722,0.0364,-0.0262,-0.0137,0.0225,0.074
85.8598,1.430996667,0.0237,-0.1442,0.0343,-0.0533,0.0506,-0.1717,0.244,-0.0509,-0.0159,-0.017,-0.0165,0.0379,0.043
87.1792,1.452986667,0.1192,0.0348,0.1183,0.0903,-0.0448,-0.0714,-0.1412,-0.0263,-0.0051,-0.0074,0.0062,-0.0382,0.074
