Time [s],Time [min],f1 [Hz],f3 [Hz],f5 [Hz],f7 [Hz],f9 [Hz],f11 [Hz],f13 [Hz],D3 [ppm],D5 [ppm],D7 [ppm],D9 [ppm],D11 [ppm],D13 [ppm]
119.9037,1.998395,0.1039,0.0078,0.0415,-0.0379,-0.0766,-0.012,-0.489,-0.0166,-0.0079,-0.0153,-0.0043,0.0541,-0.1206
121.2668,2.021113333,0.0954,0.0333,0.0155,0.0439,0.0051,0.1643,0.0784,0.01,-0.0126,0.0247,-0.0192,-0.0459,0.1208
122.4925,2.041541667,-0.0093,-0.0854,-0.0703,0.0809,0.0408,0.0325,0.5392,0.0108,0.0088,-0.012,-0.0172,0.0287,-0.027
123.5072,2.058453333,0.0782,0.0399,0.0029,-0.0538,0.0247,-0.031,-0.0167,-0.009,0.0276,-0.0217,-0.0157,0.0873,-0.0261
124.708,2.078466667,0.1778,-0.0435,0.0776,0.0397,0.0054,0.1308,0.2262,-0.0283,0.0095,-0.0172,0.0177,0.0026,0.0929
126.008,2.100133333,0.1831,0.1467,0.0645,-0.0192,-0.0202,0.0648,-0.021,-0.0204,-0.0132,-0.0028,-0.0088,0.0664,-0.0029
127.3293,2.122155,-0.0798,-0.0842,0.0256,0.0625,0.1034,0.0215,0.0822,0.0331,0.0213,-0.0366,-0.0289,0.0581,0.168
128.616,2.1436,0.0728,0.0378,0.062,-0.0007,-0.0973,0.1706,0.4283,0.0377,0.0176,-0.051,-0.0196,0.011,-0.1484
129.9288,2.16548,0.0315,-0.0369,0.0793,0.0435,0.0656,-0.1375,0.0914,-0.0482,0.0155,-0.0042,0.0055,0.1336,-0.1524
131.2546,2.187576667,0.1252,0.069,0.0208,0.1465,0.0057,0.2405,-0.1552,-0.0788,-0.0672,0.0288,0.0013,0.0583,-0.1135
132.5406,2.20901,0.0194,0.0018,-0.1093,0.1203,0.0092,0.0131,0.4262,0.0343,0.0167,0.0189,-0.0191,0.0176,0.0918
133.9005,2.231675,0.0732,-0.0178,-0.0623,-0.0523,-0.0373,0.0306,0.0954,0.0017,-0.0217,-0.0103,0.0024,-0.0155,-0.1997
135.194,2.253233333,0.0982,0.0422,0.0393,0.0175,-0.0308,0.0521,0.0648,-0.0339,-0.0172,-0.0114,-0.014,-0.0491,0.0131
136.5199,2.275331667,0.1361,0.0798,0.0915,0.0097,-0.0336,-0.0037,0.0298,0.0562,0.0047,0.0221,-0.0299,-0.0548,0.0245
137.8408,2.297346667,-0.0947,0.0091,-0.0415,-0.0796,0.0688,-0.1617,-0.3567,-0.0076,-0.0206,-0.0082,0.0068,-0.0981,-0.0714
139.1305,2.318841667,0.0147,0.0259,0.0165,0.0119,0.0303,-0.1902,0.3977,0.0085,-0.012,-0.0234,-0.0161,0.0477,-0.1828
140.4547,2.340911667,0.1372,0.0399,0.1417,-0.0558,-0.012,0.2082,0.1732,0.0065,0.0086,-0.001,-0.0261,0.0298,-0.0326
141.7546,2.362576667,0.1101,-0.0032,0.0065,-0.1029,0.0158,0.1502,0.2418,-0.0309,-0.0356,-0.0027,-0.0101,-0.1176,0.0107
143.076,2.3846,0.0423,-0.0065,-0.0185,0.063,0.0644,-0.0213,-0.0346,0.0329,0.0273,0.0067,0.0204,0.0318,0.0785
144.2557,2.404261667,-0.1139,-0.0311,-0.0464,0.1241,0.0224,0.2523,0.1624,0.0103,0.0348,0.0213,0.0367,-0.048,0.0281
145.3825,2.423041667,0.146,-0.0442,0.0917,-0.0447,-0.0161,0.2857,-0.0632,-0.0907,-0.0065,-0.0079,0.0053,0.0318,0.2076
